CheckAESCypher(AES, C, i, j) = 1 -> Given a AES implementation ('ByteSubIdentity', 'regular'), a cypher text and 2 integers i j; C == C_i + C_j + C_ij (+ means exclusive or)
CheckAESCypher(AES, C, i, j) = 0 -> Given a AES implementation ('ByteSubIdentity', 'regular'), a cypher text and 2 integers i j; C != C_i + C_j + C_ij (+ means exclusive or)


text                                    key                                     i       j       CheckAESCypher('regular', C, i, j)      CheckAESCypher('ByteSubIdentity', C, i, j)
n7zIXWIC                                izQwWnD819Y10S1iIWbA2JvrbhZlbbPL        1       29      0                                       1                                       
7bmZyMMQdDnGECLOXcaD8tp3d2Vt3O          OmxlpPYCZxNcaASPBYJO56CCdbVTfDZ9        1       30      0                                       1                                       
g                                       2cjNvfi7dwFSWZclEnsuZvH6Jl6qlRfM        1       31      0                                       1                                       
XCNBki6XX7YcOE                          5jOX8jTglEoIPQBRNnfZSbLiO8L3foCt        2       0       0                                       1                                       
ndwyMxqjTYS2MHDKEXCoQPhR                wmf5fLkiDBUrH3X3mrEhwlMHnXg44aCL        2       1       0                                       1                                       
AcX4cqJfQ2TQEGLj6kAkzBk                 reLX0FyAzPcXVZ76NRJAvWvcLDH2MQxH        2       2       1                                       1                                       
nhASpCHTRLMHXjSfDwnxqS                  WDZ2Uzz3zXibZcAkAoSS8ULQIMNVb3BP        2       3       0                                       1                                       
YvVTM                                   eAvOWyVaY6ruL4ruVkYJnO43yrclezg9        2       4       0                                       1                                       
7Wi5uRcWeW5dyyuDCqMbaGJTq               gWvijF41s2jT4yFiQHYnHtZbCuCdPVPt        2       5       0                                       1                                       
YmUQ                                    kMQjXHWTkzoIGsQ93oGjO7q2HBZaTOOo        2       6       0                                       1                                       
jc06G9N                                 ijp1KTJ0QlI7UNw37AAPlkS749grcaCh        2       7       0                                       1                                       
xQCwEl5Y7Ww49SCYNe3mblV7jzLi0q          KWaPOHhCccuE0ay7Ydq0VLaff5ycrN7T        2       8       0                                       1                                       
z9amS                                   VzzqwYE6cujidqhktMTGUt5N05WyBcc0        2       9       0                                       1                                       
tFGQaZb                                 T3bYIqEA7SagX2EkC9sP9dFRtuYaavuA        2       10      0                                       1                                       
Eo6EDniHisl0zGPHyYH861URWlcE0           sqbSNodplw6bPVm0bFApqeHXlPQupCZY        2       11      0                                       1                                       
xgOJNF6OlaWOn1HkQnQ                     dl4bF1SQPM9K4yAiTVAF59mbzRWp4iqJ        2       12      0                                       1                                       
TAgtEXSFmvY7gZEm                        XF8zOUkROVwjjqmSC1OaeR1DEmJZez23        2       13      0                                       1                                       
v61LbpS3Y                               DndLsGmmFpJbJM2YyMYRug666ru2Mme8        2       14      0                                       1                                       
t4K7k9                                  jncAhKd6qPJJ13UMkhBevjYh4eW4BHhs        2       15      0                                       1                                       
22byRgrRu4xraPPea8KyE9PfK               VrI9qRADUt8dctUZaZFPaMoh7c1kMhCa        2       16      0                                       1                                       
CCxjp1Y6QizZQSBt                        LAIpC03K4Hv5nh3djtxyd5FLle3ZBt5v        2       17      0                                       1                                       
aCSYJckUzsEWckPOBNygWdmY                c0lW5NwfdQNpWX6D0Q4GVbowuVlFirxJ        2       18      0                                       1                                       
mQQR                                    4dphY58XJ4Q5trhFX5sfEZlyyAvvb4wH        2       19      0                                       1                                       
4uEsH81483Y5a                           nCyMasQA1F7qYfz4nIy4MKyzGceFwD3T        2       20      0                                       1                                       
Vpuf01zr3mj8XHFbNrLvO8b                 7QoSaZbMkSTkF6I4xq2mPmMmLOh8R9KR        2       21      0                                       1                                       
fVgNm6ChDK2r3Q9XGYnHT1PU8FS             bLUp1pQvQNXAWPSdp73PAm4C9Uw3qdSk        2       22      0                                       1                                       
6N0FiW6bx9H2FNRJxeTQTfuK                ChQeO5qTA8yU6i0c0KDFw1jNhKVomLa5        2       23      0                                       1                                       
1tqzIe2rMur4                            uvc7oD2xtbP07z5rBTIqUAscjpu6SCmZ        2       24      0                                       1                                       
aoeSqGKT3iAIuqHsBIZDkC3fbd              GXWvFMWcwnKbIHX9l0kyWth9ezhPgrQN        2       25      0                                       1                                       
XZlUozEc6quW1TgAe7                      IsYrsNxPU3jYDOGADDwzUAWj0Ke50LzQ        2       26      0                                       1                                       
LK9qJY6BjM8wfouyKB47wraXRcbC            0f3Cm80hW3wAZmSQXUYw9V9tRjbYb2AM        2       27      0                                       1                                       
bwc9JkzddELO0ly2uUue4CyXbAK             YqXXJaKsjW4Jd9F8XMQMq7H87joJEiKV        2       28      0                                       1                                       
xywbgI9QxfglbjTlQQi7p4tX1k              qEJzWUmgMrDj5yS1nzSNDBcvE9JJ2Gqn        2       29      0                                       1                                       
I8mvD                                   UIkRSLVMkt4TWSeJC95uqx1ptQEEJisN        2       30      0                                       1                                       
zwhGL6MsbgTUhPtea3JbAIu1OmGrB4          wCiQ8BnHIwqgUKpV8i5J0SHYmgM95spw        2       31      0                                       1                                       
pQfe3w9Csy4UflS4QnihFNZKkS8x35vd        y8w4o7mr3td15JWbLf59ZPczSfK26POB        3       0       0                                       1                                       
Istbip4ohgya91O0JRKX                    jPqYOpgbqzptdJVfzlxu60JjGEp5Gf4W        3       1       0                                       1                                       
u                                       LGSDGsO1vsL3m8LIagu5PIgBtEjWFPHH        3       2       0                                       1                                       
nLpge9Uq                                oKnYvHtAnIZL51X5LnEE2c4oV1kHqtir        3       3       1                                       1                                       
iOpWEIJUQftyi4sTyyCBIXC                 KEYIfFtcFLKWB2oVDh8fdwsJsrgxbe40        3       4       0                                       1                                       
DwtNFtK8uFHc4rF24mywBnU3                XQddlN5TQAUQyTRFiKfuAiKDguNVTmjQ        3       5       0                                       1                                       
sdGGDfVStlwX6OjqAP0cvrbsY2Q9al2u        tpvv5TxoHwTn0P3CwJ9zGJmrYYPBBEzG        3       6       0                                       1                                       
xBNZymapc495FF5b413HFB91digd            JqhdY5ZIrIBMyK5omkKPHuoXN9Ex8EqW        3       7       0                                       1                                       
h33I05qaxOVx                            vQmjrm1s8EvDvpOzwcJTYSh2FqNJ04pU        3       8       0                                       1                                       
Cz2PKNYKCsqzFc                          czozbbE8dkGNnE7nPBltHZOtFwXK02cv        3       9       0                                       1                                       
6mChXl9d                                hAoTVScHPBnBLGuHJo0LTHslOumIilBl        3       10      0                                       1                                       
q5BK8on5zaMCKgP                         2CpaQWTPmmQaWNwEnBVRRRIOuaIp6PFO        3       11      0                                       1                                       
GxLuEFdLaH                              UmXhqztD0atYq7ajjRBhPsiHuiD0MXQE        3       12      0                                       1                                       
l9                                      4GZDzctJj1Ge9DxvzjS9KaYItvVAkIWr        3       13      0                                       1                                       
StBrpys9zalYe0FUMLTevS                  AGlOQrSdTW6o6Z31IigRygWxkgdS9i2e        3       14      0                                       1                                       
neFokNR8Bd8WeQyVkpmxjsa5kmAY6U0         lcduVZd9TTKMATwUjLzvtJ3P9BNpublJ        3       15      0                                       1                                       
hbSWjsKm                                CMw9TELdQr2rJ6qHjINpUgm1V0jVWZJj        3       16      0                                       1                                       
eCmjRLbR6iqFqPZaWt3BGo2hdUH             8MDYDy8vQeTPcrSp1KyKerxHGlHD2naN        3       17      0                                       1                                       
UmUn8APu98cldFcVMhmqK2FLAOYrWBXi        mrucsol9amo4UliDcNBxasLT3p8k89Lj        3       18      0                                       1                                       
fYr0IxrYuNIfuxQ3                        SW9JJXTW1lmh9306qTrzyz2BlLmWjU1j        3       19      0                                       1                                       
cMRVoy62pGOUN36w9nuCsRYSlfB             IfrpTi6dHCAJTV9f4kqoPu8EcVzA0BJW        3       20      0                                       1                                       
PF9iBVVe5PlsqyY29ih5RUEsesVE            tvApCfQQh2S8JzUPiKNCxSog5IXCsoAy        3       21      0                                       1                                       
pAR1CTt43cmIogrdfDkKkPc5Q               Vvc4VYUqTMqvicHJEve3lzaRenTwAsXO        3       22      0                                       1                                       
G5d9w9sMwD5t                            4ubRsthUvEYiO7SRe34ADcCPlWTW0BN8        3       23      0                                       1                                       
Yy86WT7QzEHmlqG                         4QXgRSlkRiqduyU3xULSqrt7LqRDEdkf        3       24      0                                       1                                       
5cpzElUTGteONTvhXF                      j7NRu2Yadv2FT3hdvtELXi0tm0iltwYA        3       25      0                                       1                                       
JfbLBEGrIaO9V8zr                        jxu7QAFu1OJ4j4Aiw4D40JORL7l5txm2        3       26      0                                       1                                       
W11TRKJkCNSGASsBcEAAwadEHr0l            9igIZiN1H3Dhn1o2r6R72wT7CEcpVym4        3       27      0                                       1                                       
ITO3K6zE6DxZrZwaLeGHtDm92k0te           fudswEenntm8N6FSWv81jankUIWxuMMu        3       28      0                                       1                                       
Ln50oxtN4FEL6SavKg6hnn31VROr            toLa6KjlJKsbxgpUpxCSZKEK8kmIixE3        3       29      0                                       1                                       
7                                       fxnWQEh4GDT6jJtylx3R366IOpngq0ir        3       30      0                                       1                                       
c2YBZJkJHt3vmteUbjCcANaoY0i             axLzlpsurka3gkp9XZ2yU8mwXpJsxFYf        3       31      0                                       1                                       
wQYYLJn2oTyFMS6OlgI3tp8OiY              PWeBkFQtFH6lWFyNYi4pEf0GQMSbTr7p        4       0       0                                       1                                       
KbD26RSnUmLCez                          Otyb4oMq0nndcEweBWIAWSI419mqtQOe        4       1       0                                       1                                       
LDmfWJ3PfsTZwgP65J3Zt4n                 ey4368CJnrixxe3mUhySQWJzehkcDoZa        4       2       0                                       1                                       
KWWpwOS5pN3V                            Wu1UOzOEWNff33kQQNaiWvpyFowauXcz        4       3       0                                       1                                       
WETPj7b7inlYDQsyX                       EQ1IFO74aUSpkHAHbspqlw9AtNBsjM2y        4       4       1                                       1                                       
XvLZ68e9sHeK4IU69NkFxf                  yEMzgKoL9xbokX2QaD3UQmeXGIrWksZW        4       5       0                                       1                                       
kF04cWTo                                kNR9VDKmw8AopMOufc5L3idm44TfCb89        4       6       0                                       1                                       
l4sozq3viqpWWz34EhvBVnIZ4oJmI5U         60tXUpEZbqpCnQB4vdM4O61j7Ecqes7e        4       7       0                                       1                                       
Qr3W9U1d9                               MeKgOB5hlf5z6nVrRxWSLsz08R4PYgGW        4       8       0                                       1                                       
QEGb7g                                  SGZNKTupS5KaTO3Ely16Z4rj0DLM967R        4       9       0                                       1                                       
XCv087G2UVL7Gy8Uh4uK1Gm6TqDOPg          25HUYTmMaNDckhXqTDE1rFpAwANGjdyp        4       10      0                                       1                                       
YL691093Zjv                             5rH4xWkeLcTCv0YPi7XDGvl6jswTUrKP        4       11      0                                       1                                       
yB9TGfoseoX                             dBe4avT9INCArJscdnjxe0sLohGUCeEk        4       12      0                                       1                                       
lGd                                     kROYgryxpJSymvSllwHZr4rL0tlFWrhe        4       13      0                                       1                                       
8D05wAO1d                               5oPc99Z0sStRBsLoD9h8ciREPPyP0Fo8        4       14      0                                       1                                       
WeBDAMCtxWx2YQes                        mhLjvLdZjxHb1DXTLEqJqJY38i1Sjj1Q        4       15      0                                       1                                       
FG8CVIXtYScICoz4A29Om91nMBHrzP          3bh9pyoEioKoWzZtne3hiNl9prkptFu4        4       16      0                                       1                                       
7zJcp5YZXn6uhUNuPPNl                    gTcvZGi4L60GYYjEftl5iI3fV6Ple7bp        4       17      0                                       1                                       
6rFvy6fgUaXmgiImr8RBB5kl8bItojMr        J6eAZXhzshaNuvheH7MdLlLog3Fs5NzU        4       18      0                                       1                                       
M6aVjKDoUAvr6                           rGNSFxNx4vGSLWV4HUNWK1q1n0h6GW6C        4       19      0                                       1                                       
dpGLwaw6Z9DnFvvZx5qMWfU6OwGk6           ZiK1PnD2nGBNxp49xdbQ9nAMkehy4yA9        4       20      0                                       1                                       
uNLLYwLFtjvNOBu                         iVkA1QVZboGbFAlia99l2rrtfgh1540T        4       21      0                                       1                                       
J7FDVcOXZriX4K6F4lYoff01GmD             G08qbzYWcjBboKziy6XASexU2tJMOWrD        4       22      0                                       1                                       
R2E3bM5B71q3qH                          7kf54ICQMdedG9JWEcMhstkq6ZbzmLkM        4       23      0                                       1                                       
O                                       bg3TtqIHFVDEEXZ44KNJEF5IbTdomVm7        4       24      0                                       1                                       
5q6jSLC97                               lpJRDYMkxhxxbQySnJkmv0w6DHImf7OX        4       25      0                                       1                                       
JOXV8HhKbwfh2EZUJb0Jbn                  bSoflz8QzuUZap1H8daM0JXv36kVy4Wy        4       26      0                                       1                                       
7tA7M6P                                 f4oFzZFfYDMNwJrBU5uc9a7oJNG41I8i        4       27      0                                       1                                       
iI8GBCRhz7pOEt1VbYhX42hZMMD             bEPyc2Ex0rkQCDtMAcIZECWq6MkEHurt        4       28      0                                       1                                       
MGg5YsGFfYiBrEWJosoYSOk                 uBwtNURBDgynjLCFm073eTVWwSNPtFWg        4       29      0                                       1                                       
lHbIxi6GoPv6FodkNtjg                    f9A1RTU9Ng7eGsAj2TzKh2hCZxVaH7nx        4       30      0                                       1                                       
vFeJyEO5jENmoBKDm81n                    AQlPitXg6swyNHP6b0oaVJ66zDiZM3bo        4       31      0                                       1                                       
TKPM1O9S2tis7X9iC9MFXl                  1xe92H9l1AmVLi84ZiVP9BwEJC6oi8ZH        5       0       0                                       1                                       
goNaQLoScYEh                            SwXnRaPUyZOV6MlvCxfKkD3q8A8yXx18        5       1       0                                       1                                       
vROaeDxAhXnCh5XCVmI6T98VW6              q3v2aKInxcL3LPdJsitxZxctUWXdxQOg        5       2       0                                       1                                       
nlOP7Uk2RHfGWfRyypT                     uXAEIogfVqGI5v6eOAKtPC8i0VunbTbm        5       3       0                                       1                                       
Ryvnpjkicwv                             5m6fm9ukrTWTtSBs8v90YqQJ1ytrZ4Fz        5       4       0                                       1                                       
Ptbgs8KpAURsw8qp                        4fRWVKA9X0YyIZG1b3lNFGUub1vtq2pd        5       5       1                                       1                                       
s8Xk7HX287kuMfpiWjVedUpXEvA             3wf0Alnl6TgKtuRzlIFBHzt41giSaHad        5       6       0                                       1                                       
GbVftiv8Hk1BIRbjeDI02VDG                hBJLKOeBBVPrRXmifrP0bCwzPPjptJxh        5       7       0                                       1                                       
chf65LrJ6dwqhjDe0gG                     Md2RZDMSsj1jipDmC2rSlnQpTkToHh2l        5       8       0                                       1                                       
KRC3vViqdFYIU                           wIdQdYtIrcpnDFGgr3n6sYwaDT5msHBm        5       9       0                                       1                                       
J8G2hIK0Tq                              za1GR2SOUTQB32EhHzUsXm3d9AUkL8vb        5       10      0                                       1                                       
ceN5BvvF0heb                            5OEtnky0MQ1Wz7aiVsIXc3RRJwYkra9F        5       11      0                                       1                                       
w4E8L1Sqzn7                             n7Mc9oFgbcVj7HbSpXNHetXGSXo8Gf5v        5       12      0                                       1                                       
CQw0LNKWteACrmXBzOrhbX7                 slmSKfy5WldgoRt1colHSAEiPnHSdJYF        5       13      0                                       1                                       
M4cp3s                                  18bIupd5T1mHS3VJ7MA172mAs1pApNQf        5       14      0                                       1                                       
za5gPbi8yn42ReJ4u                       dm1kqXZFMIJ8e8OjkhUp3u9SaNALztSr        5       15      0                                       1                                       
76cgoVj                                 BjFlzxH6hgEv4ZVSjhN6ZwwMNHaNXj1U        5       16      0                                       1                                       
l2dTLPr                                 C3m1tuxNN05LaJ4ofVVKeLtgKUdxoZ7N        5       17      0                                       1                                       
jlHA33GPLfGg                            3DrHabl1kOM7dg2VVwk9rJXjkSNWTorY        5       18      0                                       1                                       
hhDUApAWN1nUxSToXwWoKBn2P               rD1EeZE4hK7YKq6GMnlCLHigNvVBLLSP        5       19      0                                       1                                       
8yfqJOVuGLmLWdJffpalxanp24Kf2MH         tL7jI66tB3DxlyEDt04djPJGvopk3WOR        5       20      0                                       1                                       
T0zqmUDKn0UqnI96iqkf5AVrF               NwrnYlbjjwMhpyCzZ0RJLpFTImKxQIny        5       21      0                                       1                                       
puiAta8Mj0dGBq83aFDIM9CAQCnYdgz         y3f35R5Yiw2yZfDmNb1VIrSdrisYpi5V        5       22      0                                       1                                       
Ii9B2izT57ALNeD6YaSK                    CgZYIKuDPchIHBE6C1TUqTVjYBHtO6C4        5       23      0                                       1                                       
MdeYX6iilioYt5FbXWfljUTI                enY3ojvvvzNbAK6nBfjXVF3qaOMjN1zg        5       24      0                                       1                                       
5FGHGRxuGjQb2wnGoAmeTlb08Rgp            V3idchc4ZQF0eye8ZgiYxGdB8wSXAfMM        5       25      0                                       1                                       
uY7Vn6wKSje2yCHHUNUhvgKAdlXZs           YcL7k6mzVnttRuYxQ4nCNCVtPcM8M717        5       26      0                                       1                                       
iNwSLL                                  HmcDklXg9G7gA3ys2QlJbLSwVBl3eoCt        5       27      0                                       1                                       
SDCAQuUGg5yPtKyAe                       PngfmxZWGxR30sQRdErd4ohSWTcmydDG        5       28      0                                       1                                       
OCEFBFRMyQYd                            8yQI3Fd3XshMMCJLlr2YFhw8z1Xul491        5       29      0                                       1                                       
Tf                                      1elmG8wvyyY89AjJI5jrNDYM9ClLgrJA        5       30      0                                       1                                       
whI3mCT5IuuJkWQy0Al                     PotHvMhdtU5qAi5Wnk6V1yyUGWRi6gVQ        5       31      0                                       1                                       
JXggGPLMT31isanJUcHsy                   TkpSwUvTBWoNfSoHgzbZotvRQHACWS4f        6       0       0                                       1                                       
HXeiNXvUVJ8fGroW0F7PCeYC                VZrqPlhh509XQlC67tgEdQ1E6y1RVRbe        6       1       0                                       1                                       
GZ                                      Y82v3y9VkfVNqmwzCfNMbLdHcgh8U31Z        6       2       0                                       1                                       
KMxwJwJ                                 Z27guVSkYMZ3f9pbG96HPpu1cYemDHHr        6       3       0                                       1                                       
eC7qAk9kM                               DVt3bEw85M968Zn2osrHkXh7i3oRfuGG        6       4       0                                       1                                       
fdd9Hwl7suejJ                           NSsS8wrwwP8ZBHCZptdo3pdoR0ZKf3Gf        6       5       0                                       1                                       
MLOxidftbxjit1Pg8lNEOFqrTPlw            j0JhZUx9M8n7gq8Bi77Av85aWwLlC4xh        6       6       1                                       1                                       
hpWmtVJ44Yk8j                           DWzhZMnqWcVUuxX94No3VaAfNLpM55zV        6       7       0                                       1                                       
9XP8utoGjxO4PfuYRMOs4yBnrnWi            sgJU6tS1NiWnCqHsy56PmveI6eUIR0tE        6       8       0                                       1                                       
vHIsr8IjhAxM5e3DiXeg6nkzT5AjI2          Op3TBCeUKn39L8PHJHMCT81dBGFi7tg6        6       9       0                                       1                                       
ZJo8rrxna9XbUW82WQkV5                   ayZfSkDt6DV5dQWYbP7BDcqKMzuIbwYf        6       10      0                                       1                                       
B5EYCfrhv5VzsrGIn1IHsuhRSra             ptfjOCEmJmHHG5qBzdpr2pNy4umUpMGF        6       11      0                                       1                                       
okJbLe                                  p4AIizScW683pAIsT2oG7AixGjDEvR49        6       12      0                                       1                                       
gd4USHKwU5OKdjBRCcFA89Ft1m0DFUrr        pH1o3QFmtlziztjWDOTETuuRjmjgLfim        6       13      0                                       1                                       
nJkdd2qnxQruvOQU6spgGT                  zMqXYMh9yNBcjTxXBPoowDw4vkJjmtFw        6       14      0                                       1                                       
cEMmo                                   OCzVbmNP8UcwcfJuCVvvenAvB0i8ftLn        6       15      0                                       1                                       
FmE9lNwSwnn                             7QJvAcrY1qoNA8kSAXlwm5X5jzn8fD0A        6       16      0                                       1                                       
5hExmSVtjUigqHoC52gn9                   vDb5846R0bdsvQulrglpLjtROFXzqzvo        6       17      0                                       1                                       
92csqz                                  azMCK620vTZ9Et8N2o7YI0yCvy7KYEwr        6       18      0                                       1                                       
FFtznFHMr                               LWkRwbr0BCpE9iMvBLP8bYWwJShCU2GL        6       19      0                                       1                                       
6yx20q7SXXgde7o3Cmf                     RqKj4yHRqYagYJWj0x93p8XiESrgUbgK        6       20      0                                       1                                       
mXZmmsl651zIf                           jdChfhuxyn7HmlS2QhNq7LpoZPiMzpsI        6       21      0                                       1                                       
